timestamp,topic,aggregation_is_monotonic,aggregation_temporality,attributes_condition,attributes_cpu,attributes_device,attributes_direction,attributes_interface,attributes_mode,attributes_mountpoint,attributes_protocol,attributes_state,attributes_type,body,body_length,context_ip,context_method,context_status_code,context_trace_id,context_url,context_user_agent,correlation_cpu_throttling,correlation_cross_signal_health_score,correlation_disk_pressure,correlation_error_correlation_score,correlation_error_density,correlation_error_to_request_ratio,correlation_memory_pressure,correlation_metric_anomaly_rate,correlation_pods_restarting,correlation_resource_utilization,correlation_service_diversity,correlation_unhealthy_pods,day_of_week,description,enhanced_body_length_cv,enhanced_body_length_max,enhanced_body_length_mean,enhanced_body_length_min,enhanced_body_length_p95,enhanced_body_length_std,enhanced_duration_ms_cv,enhanced_duration_ms_max,enhanced_duration_ms_mean,enhanced_duration_ms_min,enhanced_duration_ms_p95,enhanced_duration_ms_std,enhanced_error_rate,enhanced_hour_variance,enhanced_messages_per_minute,enhanced_peak_hour,enhanced_unique_sources,enhanced_value_cv,enhanced_value_max,enhanced_value_mean,enhanced_value_min,enhanced_value_p95,enhanced_value_std,enhanced_window_minutes,error,exemplars_count,hour,name,observed_ts,resource_attributes_container.id,resource_attributes_container.image.name,resource_attributes_container.image.tag,resource_attributes_container.runtime,resource_attributes_container.runtime.version,resource_attributes_deployment.environment,resource_attributes_host.name,resource_attributes_k8s.cluster.name,resource_attributes_k8s.container.name,resource_attributes_k8s.container.status.last_terminated_reason,resource_attributes_k8s.daemonset.name,resource_attributes_k8s.deployment.name,resource_attributes_k8s.kubelet.version,resource_attributes_k8s.namespace.name,resource_attributes_k8s.node.name,resource_attributes_k8s.node.uid,resource_attributes_k8s.pod.name,resource_attributes_k8s.pod.qos_class,resource_attributes_k8s.pod.start_time,resource_attributes_k8s.pod.uid,resource_attributes_k8s.volume.name,resource_attributes_k8s.volume.type,resource_attributes_os.type,resource_attributes_signoz.component,severity_number,severity_text,sliding_avg_duration_15m,sliding_avg_duration_5m,sliding_avg_duration_60m,sliding_avg_messages_15m,sliding_avg_messages_5m,sliding_avg_messages_60m,sliding_duration_trend_15m,sliding_duration_trend_5m,sliding_duration_trend_60m,sliding_error_rate_15m,sliding_error_rate_5m,sliding_error_rate_60m,sliding_trend_15m,sliding_trend_5m,sliding_trend_60m,sliding_volume_trend_15m,sliding_volume_trend_5m,sliding_volume_trend_60m,source,span_id,trace_id,type,unit,value
2025-09-17T09:12:27.987097+00:00,demo-laravel-logs,,,,,,,,,,,,,API Request,11.0,172.18.0.1,GET,,216a465abd4b2f7e48d106fd25965fa8,http://localhost:8000/api/external/people,curl/8.5.0,,1.0,,0,0.0,0.0,,0.0,,,0,,2,,0.04441338421349993,12.0,11.5,11.0,12.0,0.5107539184552492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,9,1,0.0,9.0,9.0,9.0,9.0,0.0,5,,,9,,2025-09-17T09:12:27.987097+00:00,,,,,,,,,,,,,,,,,,,,,,,,,9.0,info,0.0,0.0,0.0,1.6,4.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.2819772539548963e-16,-1.2819772539548963e-16,-1.2819772539548963e-16,-0.8000000000000008,-0.8000000000000008,-0.8000000000000008,unknown,050d3825f52f664c,216a465abd4b2f7e48d106fd25965fa8,,,9.0
2025-09-17T09:12:27.988591+00:00,demo-laravel-logs,,,,,,,,,,,,,API Request,11.0,172.18.0.1,GET,,216a465abd4b2f7e48d106fd25965fa8,http://localhost:8000/api/external/people,curl/8.5.0,,1.0,,0,0.0,0.0,,0.0,,,0,,2,,0.04441338421349993,12.0,11.5,11.0,12.0,0.5107539184552492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,9,1,0.0,9.0,9.0,9.0,9.0,0.0,5,,,9,,2025-09-17T09:12:27.988591+00:00,,,,,,,,,,,,,,,,,,,,,,,,,9.0,info,0.0,0.0,0.0,1.6,4.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.2819772539548963e-16,-1.2819772539548963e-16,-1.2819772539548963e-16,-0.8000000000000008,-0.8000000000000008,-0.8000000000000008,unknown,050d3825f52f664c,216a465abd4b2f7e48d106fd25965fa8,,,9.0
2025-09-17T09:12:28.197232+00:00,demo-laravel-logs,,,,,,,,,,,,,API Response,12.0,,,200.0,216a465abd4b2f7e48d106fd25965fa8,,,,1.0,,0,0.0,0.0,,0.0,,,0,,2,,0.04441338421349993,12.0,11.5,11.0,12.0,0.5107539184552492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,9,1,0.0,9.0,9.0,9.0,9.0,0.0,5,,,9,,2025-09-17T09:12:28.197232+00:00,,,,,,,,,,,,,,,,,,,,,,,,,9.0,info,0.0,0.0,0.0,1.6,4.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.2819772539548963e-16,-1.2819772539548963e-16,-1.2819772539548963e-16,-0.8000000000000008,-0.8000000000000008,-0.8000000000000008,unknown,050d3825f52f664c,216a465abd4b2f7e48d106fd25965fa8,,,9.0
2025-09-17T09:12:28.197935+00:00,demo-laravel-logs,,,,,,,,,,,,,API Response,12.0,,,200.0,216a465abd4b2f7e48d106fd25965fa8,,,,1.0,,0,0.0,0.0,,0.0,,,0,,2,,0.04441338421349993,12.0,11.5,11.0,12.0,0.5107539184552492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,9,1,0.0,9.0,9.0,9.0,9.0,0.0,5,,,9,,2025-09-17T09:12:28.197935+00:00,,,,,,,,,,,,,,,,,,,,,,,,,9.0,info,0.0,0.0,0.0,1.6,4.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-1.2819772539548963e-16,-1.2819772539548963e-16,-1.2819772539548963e-16,-0.8000000000000008,-0.8000000000000008,-0.8000000000000008,unknown,050d3825f52f664c,216a465abd4b2f7e48d106fd25965fa8,,,9.0
2025-09-17T09:12:06.829788+00:00,demo-laravel-logs,,,,,,,,,,,,,API Request,11.0,172.18.0.1,DELETE,,504e624f807d4fc5e02d28c8e696c7f3,http://localhost:8000/api/people,curl/8.5.0,,1.0,,0,0.0,0.0,,0.0,,,0,,2,,0.044607754438484956,12.0,11.5,11.0,12.0,0.512989176042577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9,1,0.0,9.0,9.0,9.0,9.0,0.0,5,,,9,,2025-09-17T09:12:06.829788+00:00,,,,,,,,,,,,,,,,,,,,,,,,,9.0,info,0.0,0.0,0.0,1.3333333333333333,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-1.2158071758219143e-16,-1.2158071758219143e-16,-1.2158071758219143e-16,6.964775837722642e-16,6.964775837722642e-16,6.964775837722642e-16,unknown,d4a2aeadb539d76c,504e624f807d4fc5e02d28c8e696c7f3,,,9.0
2025-09-17T09:12:06.845430+00:00,demo-laravel-logs,,,,,,,,,,,,,API Response,12.0,,,405.0,504e624f807d4fc5e02d28c8e696c7f3,,,,1.0,,0,0.0,0.0,,0.0,,,0,,2,,0.044607754438484956,12.0,11.5,11.0,12.0,0.512989176042577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9,1,0.0,9.0,9.0,9.0,9.0,0.0,5,,,9,,2025-09-17T09:12:06.845430+00:00,,,,,,,,,,,,,,,,,,,,,,,,,9.0,info,0.0,0.0,0.0,1.3333333333333333,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,-1.2158071758219143e-16,-1.2158071758219143e-16,-1.2158071758219143e-16,6.964775837722642e-16,6.964775837722642e-16,6.964775837722642e-16,unknown,d4a2aeadb539d76c,504e624f807d4fc5e02d28c8e696c7f3,,,9.0
2025-09-17T09:11:56.356013+00:00,demo-laravel-logs,,,,,,,,,,,,,API Request,11.0,172.18.0.1,GET,,9615fa4c92ba997c2f33b5f7d2982da5,http://localhost:8000/api/external/people,curl/8.5.0,,1.0,,0,0.0,0.0,,0.0,,,0,,2,,0.04473876134152405,12.0,11.5,11.0,12.0,0.5144957554275266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,9,1,0.0,9.0,9.0,9.0,9.0,0.0,5,,,9,,2025-09-17T09:11:56.356013+00:00,,,,,,,,,,,,,,,,,,,,,,,,,9.0,info,0.0,0.0,0.0,1.2,3.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-2.6277928074144912e-18,-2.6277928074144912e-18,-2.6277928074144912e-18,-0.6000000000000012,-0.6000000000000012,-0.6000000000000012,unknown,ab65ff5f81725a96,9615fa4c92ba997c2f33b5f7d2982da5,,,9.0
2025-09-17T09:11:56.357231+00:00,demo-laravel-logs,,,,,,,,,,,,,API Request,11.0,172.18.0.1,GET,,9615fa4c92ba997c2f33b5f7d2982da5,http://localhost:8000/api/external/people,curl/8.5.0,,1.0,,0,0.0,0.0,,0.0,,,0,,2,,0.04473876134152405,12.0,11.5,11.0,12.0,0.5144957554275266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,9,1,0.0,9.0,9.0,9.0,9.0,0.0,5,,,9,,2025-09-17T09:11:56.357231+00:00,,,,,,,,,,,,,,,,,,,,,,,,,9.0,info,0.0,0.0,0.0,1.2,3.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-2.6277928074144912e-18,-2.6277928074144912e-18,-2.6277928074144912e-18,-0.6000000000000012,-0.6000000000000012,-0.6000000000000012,unknown,ab65ff5f81725a96,9615fa4c92ba997c2f33b5f7d2982da5,,,9.0
2025-09-17T09:11:56.524231+00:00,demo-laravel-logs,,,,,,,,,,,,,API Response,12.0,,,200.0,9615fa4c92ba997c2f33b5f7d2982da5,,,,1.0,,0,0.0,0.0,,0.0,,,0,,2,,0.04473876134152405,12.0,11.5,11.0,12.0,0.5144957554275266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,9,1,0.0,9.0,9.0,9.0,9.0,0.0,5,,,9,,2025-09-17T09:11:56.524231+00:00,,,,,,,,,,,,,,,,,,,,,,,,,9.0,info,0.0,0.0,0.0,1.2,3.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-2.6277928074144912e-18,-2.6277928074144912e-18,-2.6277928074144912e-18,-0.6000000000000012,-0.6000000000000012,-0.6000000000000012,unknown,ab65ff5f81725a96,9615fa4c92ba997c2f33b5f7d2982da5,,,9.0
2025-09-17T09:11:56.524596+00:00,demo-laravel-logs,,,,,,,,,,,,,API Response,12.0,,,200.0,9615fa4c92ba997c2f33b5f7d2982da5,,,,1.0,,0,0.0,0.0,,0.0,,,0,,2,,0.04473876134152405,12.0,11.5,11.0,12.0,0.5144957554275266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,9,1,0.0,9.0,9.0,9.0,9.0,0.0,5,,,9,,2025-09-17T09:11:56.524596+00:00,,,,,,,,,,,,,,,,,,,,,,,,,9.0,info,0.0,0.0,0.0,1.2,3.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-2.6277928074144912e-18,-2.6277928074144912e-18,-2.6277928074144912e-18,-0.6000000000000012,-0.6000000000000012,-0.6000000000000012,unknown,ab65ff5f81725a96,9615fa4c92ba997c2f33b5f7d2982da5,,,9.0
